xlat,xlong,wsp_avg_150.0,xland_avg,wsp_max_150.0,xland_max,wsp_min_150.0,xland_min,wsp_stddev_150.0,xland_stddev
51.331711,0.659973,8.9830421404,1.0,25.779703,1,0.030862,1,4.189463003023716,0.0
51.669155,2.664001,9.7625322884,2.0,31.057671,2,0.238567,2,4.7292157922541875,0.0
51.920677,-1.068970,8.6410942982,1.0,26.886489,1,0.149163,1,3.9040269146676105,0.0
52.902905,-3.058411,8.4916440566,1.0,28.275383,1,0.070071,1,4.360285614070378,0.0
52.162071,-4.187378,9.0819084601,1.0,28.350825,1,0.107234,1,4.291379481172451,0.0
53.165169,4.741547,9.8976645412,2.0,31.707130,2,0.133687,2,4.669101327489869,0.0
53.948124,-1.634216,9.0229981187,1.0,32.371353,1,0.177656,1,4.272184563203051,0.0
51.984192,2.488190,9.8392172777,2.0,30.128183,2,0.260564,2,4.739517841425387,0.0
50.999142,-4.195251,8.8818295173,1.0,29.144811,1,0.113775,1,4.2379167970540506,0.0
51.708836,-0.767792,9.2516216767,1.0,25.334294,1,0.270968,1,4.076992151138387,0.0
52.670494,3.531403,9.9446607594,2.0,30.728083,2,0.130963,2,4.801906774037817,0.0
52.867161,4.168762,9.9376820675,2.0,30.965079,2,0.207396,2,4.776924796943743,0.0
51.224541,4.067047,8.0368884460,1.0,24.966984,1,0.183887,1,3.7463401243321828,0.0
51.420486,1.169006,9.0717573524,2.0,26.317215,2,0.141418,2,4.2124579448136705,0.0
53.006275,2.707428,10.0368923654,2.0,30.341746,2,0.162316,2,4.864511299187211,0.0
51.057110,-0.188446,8.7462341857,1.0,26.608651,1,0.130682,1,3.971820837912583,0.0
51.083149,2.377747,8.8081094719,2.0,28.870810,2,0.245215,2,4.144564447747301,0.0
52.069481,3.051819,9.8034914024,2.0,31.328191,2,0.153474,2,4.7508833298035675,0.0
52.164776,-2.714600,8.2910224217,1.0,29.362898,1,0.083961,1,3.9088301450039764,0.0
52.559410,-1.114960,8.6633872486,1.0,25.789447,1,0.085495,1,3.89846986898766,0.0
53.117912,1.147888,9.7042686532,2.0,28.621596,2,0.199175,2,4.708922034577316,0.0
53.398796,-1.754150,9.6888942523,1.0,29.310475,1,0.250806,1,4.639238392861395,0.0
51.061066,1.675507,9.6701969393,2.0,29.702439,2,0.164688,2,4.69202570722667,0.0
52.335484,-0.255249,8.6512899377,1.0,25.285514,1,0.197880,1,3.922380275229455,0.0
52.715553,-2.609680,8.2917670471,1.0,27.310071,1,0.182334,1,3.9601703084795963,0.0
53.321201,2.805328,10.1136454084,2.0,32.052745,2,0.166856,2,4.942156434284171,0.0
53.568462,2.502899,10.1420534735,2.0,30.461280,2,0.049754,2,4.968193444333664,0.0
52.687836,-2.412842,8.5849130841,1.0,25.961426,1,0.049087,1,3.883678879446724,0.0
53.007542,-0.022888,8.7659733294,1.0,27.700395,1,0.112374,1,3.9455064386643675,0.0
53.369492,3.906250,10.1924718374,2.0,31.332240,2,0.120553,2,4.85730124345942,0.0
53.184349,0.755035,9.7311460092,2.0,28.824145,2,0.072156,2,4.6636585889481585,0.0
53.299938,-0.590881,8.4710213230,1.0,25.214570,1,0.119772,1,3.870514754797533,0.0
53.340302,0.657715,9.7591791405,2.0,28.534780,2,0.167839,2,4.6977501284913945,0.0
53.788403,4.595215,10.3224543795,2.0,32.532631,2,0.315743,2,4.844537371682199,0.0
51.538548,2.743774,9.6980180432,2.0,30.403500,2,0.183081,2,4.677761717873735,0.0
51.661098,1.320740,9.4350141702,2.0,27.757679,2,0.084682,2,4.361033705392113,0.0
52.897648,1.170502,9.2789100404,1.0,26.303305,1,0.231682,1,4.256729533818129,0.0
53.421249,0.397217,9.5859031526,2.0,30.697322,2,0.170888,2,4.525386826252262,0.0
51.574478,-3.073975,8.3239233661,1.0,29.137142,1,0.167122,1,4.036135230637974,0.0
52.813229,0.920166,9.0174299079,1.0,26.467218,1,0.190514,1,4.119881409857608,0.0
53.701538,-4.299347,10.2360088749,2.0,31.095413,2,0.238220,2,4.9080769296617826,0.0
51.585999,-3.897369,8.6343898483,2.0,30.791622,2,0.069839,2,4.446414729622309,0.0
51.739971,-3.642090,8.3472810429,1.0,27.457432,1,0.062896,1,4.1679205441158516,0.0
51.026848,-2.410095,8.6745142414,1.0,26.957906,1,0.178376,1,4.020542152693649,0.0
51.560505,-2.796143,8.1470478951,2.0,27.694784,2,0.223408,2,4.135601351696992,0.0
51.750793,0.663147,8.5277842789,1.0,25.717936,1,0.109096,1,3.8026855316779447,0.0
51.133366,0.410156,8.7030436249,1.0,27.482021,1,0.138170,1,4.031574802847595,0.0
52.927132,-4.005493,8.7441706108,1.0,29.403161,1,0.197084,1,4.7303941732868635,0.0
51.533806,-3.693665,8.9105928163,1.0,33.673654,1,0.230765,1,4.4369345889210745,0.0
52.318844,0.983826,8.8999740709,1.0,28.163401,1,0.165128,1,4.02937153968602,0.0
52.852600,3.117371,10.0230153406,2.0,30.252175,2,0.109013,2,4.854208754957681,0.0
53.057358,1.861389,9.8155883722,2.0,29.900489,2,0.056356,2,4.7868294911813924,0.0
53.523643,3.774200,10.2307213302,2.0,31.463123,2,0.242638,2,4.885495552529335,0.0
50.998848,-0.836792,8.4735242253,1.0,26.245976,1,0.119660,1,3.9384700140143973,0.0
52.551315,0.589874,8.5458301385,1.0,26.426681,1,0.064070,1,3.9309800862953117,0.0
53.604504,-1.266296,8.0281011903,1.0,25.459237,1,0.060168,1,3.737916910248918,0.0
52.219490,5.000854,8.0305059911,1.0,25.537266,1,0.146311,1,3.5820475821188063,0.0
52.679470,-0.188721,8.5975222186,1.0,26.719944,1,0.130463,1,3.8708231824721855,0.0
52.916103,2.916412,10.0338265697,2.0,30.003881,2,0.212865,2,4.87315074876521,0.0
53.402905,-0.439941,8.5092847005,1.0,25.857322,1,0.123412,1,3.9263677622941118,0.0
51.149307,0.538696,8.4628338899,1.0,26.448540,1,0.133280,1,4.006820512848226,0.0
51.161221,1.335632,9.4189043323,1.0,28.246445,1,0.204024,1,4.379446588763557,0.0
52.124557,-1.827759,8.3802655165,1.0,25.387868,1,0.114557,1,4.036891138951864,0.0
52.937096,4.335358,9.9421281333,2.0,31.204344,2,0.298852,2,4.751771029494794,0.0
53.327271,-3.612427,8.6492285593,2.0,30.008479,2,0.165339,2,4.566522356950614,0.0
52.797367,2.030060,9.7615923462,2.0,28.526603,2,0.061280,2,4.653588165782001,0.0
53.508293,-0.712433,8.3344995666,1.0,26.550954,1,0.040366,1,3.8475029333432467,0.0
53.559620,-0.966553,8.0416003753,1.0,24.188311,1,0.158936,1,3.689090788266077,0.0
53.773418,-1.045410,8.0288584576,1.0,26.909309,1,0.049639,1,3.7623160084548957,0.0
51.103714,5.549133,7.9768537012,1.0,23.963139,1,0.089684,1,3.7260447529988814,0.0
51.501259,1.144623,9.2071105080,2.0,26.374421,2,0.218476,2,4.278859042426409,0.0
53.111340,4.431671,10.0321254203,2.0,31.282872,2,0.091011,2,4.773088716536798,0.0
53.812805,3.606018,10.2780415058,2.0,32.654981,2,0.098748,2,4.892678039131249,0.0
51.054588,-3.858063,8.7414026729,1.0,31.699743,1,0.198142,1,4.170024603992353,0.0
51.785679,1.193176,9.2406902347,2.0,26.681407,2,0.330901,2,4.159004967211589,0.0
52.617496,-3.267303,8.5372530625,1.0,32.068893,1,0.217400,1,4.259782986331612,0.0
52.949585,-1.956268,9.0627607219,1.0,30.304740,1,0.336697,1,4.080199545610051,0.0
52.978024,-2.153961,8.5814379385,1.0,27.989816,1,0.331658,1,3.9147265585817577,0.0
53.910954,-3.673828,10.0027992193,2.0,31.169827,2,0.215244,2,4.889211900333866,0.0
53.008480,-3.664856,9.5988374632,1.0,29.362969,1,0.065344,1,4.670477786495973,0.0
53.877674,-2.750824,8.4152335286,1.0,30.874414,1,0.094461,1,4.581236297876991,0.0
52.050930,-2.532227,8.3090331403,1.0,26.862740,1,0.095415,1,3.942489569538974,0.0
52.367496,0.922974,8.7499964153,1.0,27.866294,1,0.202077,1,3.9805239742205525,0.0
53.590847,2.449738,10.1416139193,2.0,30.405577,2,0.135251,2,4.973128064889464,0.0
51.143860,0.050446,8.6756875093,1.0,25.118405,1,0.093954,1,3.982228227641876,0.0
51.472523,1.868774,9.6892268160,2.0,29.307178,2,0.119298,2,4.6239865426546425,0.0
53.085049,-1.167511,8.6594680964,1.0,25.714315,1,0.124428,1,3.856635974117877,0.0
53.853687,4.064270,10.3297598979,2.0,32.950476,2,0.211248,2,4.881009987682149,0.0
