xlat,xlong,wsp_avg_150.0,xland_avg,wsp_max_150.0,xland_max,wsp_min_150.0,xland_min,wsp_stddev_150.0,xland_stddev
55.724323,2.444397,10.3495031299,2.0,35.036596,2,0.213426,2,5.0623346576462565,0.0
55.874680,-0.074463,10.3040412594,2.0,38.120995,2,0.248390,2,4.895105664889568,0.0
54.958534,0.931976,10.1696340090,2.0,32.421585,2,0.293825,2,4.909491203702172,0.0
56.040920,0.163269,10.3986030116,2.0,38.260936,2,0.182982,2,4.941339176563906,0.0
55.547714,-0.251190,10.1244814270,2.0,35.597725,2,0.126142,2,4.820100778404527,0.0
56.321266,1.212616,10.4456274330,2.0,40.254389,2,0.199622,2,5.11919972328958,0.0
54.244816,4.438019,10.4280947490,2.0,31.324943,2,0.091390,2,4.886803199768313,0.0
55.124027,-1.856598,9.0715814786,1.0,28.831374,1,0.153781,1,4.588471140116497,0.0
56.569958,0.171051,10.5213349369,2.0,40.255389,2,0.246537,2,5.034623398732188,0.0
56.836792,-2.885162,10.3573405959,1.0,33.411046,1,0.150970,1,5.2831616772275884,0.0
54.375519,-0.024261,9.5930340787,2.0,28.268595,2,0.246325,2,4.522909427687907,0.0
55.558643,2.738892,10.3500349301,2.0,35.203209,2,0.131380,2,5.00690941314598,0.0
56.018997,0.718170,10.4150563424,2.0,38.498219,2,0.277465,2,5.004920344670328,0.0
56.495010,2.406921,10.3875003895,2.0,39.586771,2,0.115441,2,5.15239803265267,0.0
56.607281,2.723328,10.4127954779,2.0,39.832707,2,0.222484,2,5.126470964683719,0.0
54.187981,1.516663,10.1523192870,2.0,29.348302,2,0.168422,2,4.987608616281062,0.0
54.959053,-3.257904,8.1305133209,1.0,32.267651,1,0.056516,1,4.610238901720617,0.0
55.016407,-0.496399,9.7222024422,2.0,30.185732,2,0.185206,2,4.622975610989284,0.0
54.642609,2.427826,10.2711066715,2.0,31.221672,2,0.211639,2,4.9955723711921705,0.0
55.669655,2.166412,10.3211357408,2.0,35.534671,2,0.145203,2,5.063041009451595,0.0
55.811222,5.069366,10.5800051662,2.0,32.853779,2,0.351559,2,4.824717627860689,0.0
54.120140,3.949829,10.3832081358,2.0,31.602941,2,0.256440,2,4.873904908312156,0.0
54.770245,-4.153687,9.2408602710,2.0,31.642253,2,0.229488,2,4.606178607126111,0.0
55.728989,-1.507782,9.5596356197,2.0,36.171290,2,0.293219,2,4.548404702770134,0.0
55.778400,2.723083,10.3449341399,2.0,35.396692,2,0.048725,2,5.048832376358228,0.0
56.755711,-2.440216,8.6323583564,1.0,27.969037,1,0.179186,1,4.120448800475957,0.0
56.882454,5.057709,10.7754196471,2.0,39.520815,2,0.337547,2,4.897593517985809,0.0
54.047092,0.992126,10.0334253966,2.0,30.328080,2,0.176710,2,4.909018382919979,0.0
55.190468,-1.343964,9.1448096444,2.0,31.599203,2,0.300573,2,4.286846822671218,0.0
55.327518,-4.014587,9.7277641058,1.0,34.090457,1,0.096611,1,4.747853663494731,0.0
55.349293,-2.885590,9.1328730089,1.0,31.733541,1,0.071683,1,4.6488133683017745,0.0
54.208622,-2.599792,8.0950280426,1.0,31.347478,1,0.115736,1,4.666351732859236,0.0
55.066021,-4.437714,9.5066749472,1.0,33.099040,1,0.122498,1,4.360431737801831,0.0
56.109657,0.786163,10.4242683494,2.0,40.059849,2,0.118352,2,5.026102114634581,0.0
54.100235,-0.451965,9.2660585667,1.0,28.847451,1,0.175166,1,4.20542006249417,0.0
54.565823,-2.457428,7.0362652400,1.0,30.436908,1,0.120198,1,4.662157155061191,0.0
54.393280,-4.031769,9.8357701691,2.0,30.997319,2,0.219953,2,4.79810114860009,0.0
54.674122,2.466461,10.2802979059,2.0,30.480661,2,0.073188,2,4.9886566953463705,0.0
55.541374,-3.515625,9.9700427863,1.0,37.401346,1,0.166016,1,4.790774736636458,0.0
55.308113,-1.734314,8.9865958536,1.0,30.568771,1,0.229579,1,4.422849858119303,0.0
55.558380,2.445435,10.3424339616,2.0,35.640817,2,0.044860,2,5.038527571582089,0.0
55.560776,-2.778564,8.8883779098,1.0,35.136061,1,0.177496,1,4.482792523797559,0.0
56.617775,0.607635,10.5053390110,2.0,41.573168,2,0.144780,2,5.089565815410462,0.0
55.698544,0.088531,10.2692660557,2.0,36.250003,2,0.236872,2,4.90267474874249,0.0
55.733517,-3.352448,8.7742127463,1.0,36.041971,1,0.125509,1,4.448134281742351,0.0
54.110268,-2.895325,8.4799741176,2.0,30.469776,2,0.097864,2,4.832392407242524,0.0
54.615437,-0.350037,9.4127030187,2.0,29.421845,2,0.135681,2,4.483497105540728,0.0
55.445240,2.137665,10.3174813497,2.0,33.716962,2,0.176507,2,5.021288042744247,0.0
56.391441,-1.121887,10.4246275625,2.0,42.582542,2,0.204779,2,4.916811513062477,0.0
54.846134,-0.288483,9.6745067979,2.0,30.268597,2,0.072257,2,4.674989529469035,0.0
55.193348,-1.100128,9.4047233989,2.0,32.073350,2,0.119092,2,4.447171003105173,0.0
56.107208,1.831177,10.3672173246,2.0,38.662410,2,0.202394,2,5.122376243841627,0.0
56.457115,3.517548,10.4315979783,2.0,39.049182,2,0.173088,2,5.0304439913881165,0.0
56.569645,-4.194244,10.1949290652,1.0,35.864561,1,0.137754,1,5.03863093461219,0.0
54.428375,-3.610779,9.1323062346,2.0,31.446555,2,0.166890,2,4.8031213099836885,0.0
56.707611,-2.164429,9.5802536208,2.0,31.846823,2,0.192487,2,4.57647626258367,0.0
56.967201,-3.973663,10.2400804228,1.0,29.553766,1,0.221387,1,5.031987072272389,0.0
54.114826,5.223053,10.3950041370,2.0,31.745820,2,0.129795,2,4.846062014620168,0.0
55.534515,3.380951,10.4141425082,2.0,33.470139,2,0.260818,2,4.982242465647943,0.0
56.988060,-1.260529,10.4240309337,2.0,33.764453,2,0.238640,2,4.857321114658729,0.0
55.144306,-0.592529,9.7674356481,2.0,31.131483,2,0.226544,2,4.650827536845877,0.0
55.157501,-0.939606,9.5511482154,2.0,33.137926,2,0.055662,2,4.502122215857504,0.0
55.944683,-2.845276,8.9554317687,1.0,38.299274,1,0.203255,1,4.5977466184386,0.0
56.082989,1.590729,10.3938017327,2.0,38.796787,2,0.111568,2,5.089083706211167,0.0
54.038837,4.958282,10.3750551018,2.0,32.321649,2,0.197328,2,4.845099910753092,0.0
55.018093,-2.842041,8.1107048463,1.0,32.430558,1,0.091384,1,4.430249676444485,0.0
56.193115,-1.595459,10.1535903358,2.0,41.142875,2,0.191520,2,4.839117013304352,0.0
54.332829,0.564484,9.9259412839,2.0,29.753314,2,0.279517,2,4.814828849418145,0.0
56.480473,-3.031708,7.9031198393,1.0,30.930280,1,0.156182,1,4.047199416881881,0.0
54.549736,1.785522,10.2236753501,2.0,29.984116,2,0.126110,2,4.981894556559237,0.0
55.939793,2.675110,10.3452784219,2.0,37.148843,2,0.169850,2,5.072990069024637,0.0
56.224113,1.345093,10.4203611480,2.0,38.994552,2,0.146887,2,5.103504256242677,0.0
54.128746,-3.913727,9.9377988955,2.0,33.114262,2,0.280429,2,4.893067549211305,0.0
54.501022,-3.691315,9.4171436385,2.0,32.167068,2,0.212730,2,4.805431950295077,0.0
54.794884,3.151276,10.3785969260,2.0,30.097416,2,0.209168,2,4.956885457323899,0.0
54.918003,-1.286804,8.7915583199,2.0,30.578091,2,0.325058,2,4.104977361929487,0.0
55.308247,-0.849976,9.7059456130,2.0,34.626383,2,0.151589,2,4.601901063558788,0.0
54.483566,-4.364349,9.9653118680,2.0,33.314449,2,0.257245,2,4.8596594652542215,0.0
54.535645,-1.429688,8.1393302873,1.0,27.972123,1,0.185453,1,3.914634798989022,0.0
55.601231,-3.293488,9.4421317775,1.0,36.187722,1,0.120152,1,4.813644199782213,0.0
55.240795,-1.167480,9.3845041008,2.0,34.502906,2,0.196007,2,4.441831072495361,0.0
56.840679,1.692596,10.4626112526,2.0,41.784608,2,0.208034,2,5.199533747317049,0.0
56.954403,0.385010,10.5525364266,2.0,37.628204,2,0.150773,2,5.109023484269459,0.0
54.327717,-2.552612,8.4666879534,1.0,29.985606,1,0.089836,1,4.613628056120112,0.0
55.472118,2.129395,10.3174282605,2.0,34.166249,2,0.111864,2,5.027600387222439,0.0
56.529427,3.397156,10.4415148031,2.0,39.615102,2,0.167205,2,5.055993265130618,0.0
56.907673,-3.996765,10.2655691050,1.0,29.463846,1,0.146626,1,4.830612663348412,0.0
54.348946,3.416626,10.3775924078,2.0,31.962570,2,0.077934,2,4.9264801588942815,0.0
55.982788,-0.811462,10.2108222496,2.0,38.490544,2,0.205407,2,4.84675844462493,0.0
54.229279,4.583527,10.4094407449,2.0,31.875662,2,0.201753,2,4.880787606796374,0.0
55.262413,1.171326,10.2381957792,2.0,33.901333,2,0.086472,2,4.956925445544068,0.0
55.883026,-4.072205,7.7345351240,1.0,33.846999,1,0.108519,1,4.087129922131164,0.0
54.191605,1.040192,10.0805271973,2.0,28.466212,2,0.164381,2,4.9216268788636155,0.0
55.257030,-3.141937,8.6268052554,1.0,31.586171,1,0.146832,1,4.338475768637275,0.0
56.410103,4.277649,10.5382638007,2.0,38.398047,2,0.159696,2,4.9504772438711235,0.0
54.163620,4.457825,10.4121697054,2.0,33.868129,2,0.259388,2,4.878712683090342,0.0
54.813766,1.655121,10.2579670500,2.0,30.384997,2,0.061175,2,4.954815349811166,0.0
56.412552,-2.494568,9.3629117884,2.0,37.110556,2,0.248024,2,4.524497476525529,0.0
54.052349,-0.387177,8.8708946272,1.0,27.851558,1,0.244512,1,4.054638523018417,0.0
54.322418,1.474426,10.1641283087,2.0,29.780011,2,0.077881,2,4.979505058696018,0.0
54.368050,-2.665771,8.3212182435,1.0,27.385733,1,0.064341,1,4.549930787354305,0.0
54.434895,1.486664,10.1883200491,2.0,31.950235,2,0.167935,2,4.969267515427137,0.0
55.788162,-1.034576,9.9742268355,2.0,39.695882,2,0.148792,2,4.725930339784128,0.0
55.799191,-0.245056,10.2496077076,2.0,37.261647,2,0.224503,2,4.870281621028707,0.0
56.793343,-2.150146,9.4552651601,2.0,31.469617,2,0.206864,2,4.537935309472866,0.0
